Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Hispanic Students [District] 2019-20,Hispanic Students [District] 2018-19,Hispanic Students [District] 2017-18,Hispanic Students [District] 2016-17,Hispanic Students [District] 2015-16,Hispanic Students [District] 2014-15,Black or African American Students [District] 2019-20,Black or African American Students [District] 2018-19,Black or African American Students [District] 2017-18,Black or African American Students [District] 2016-17,Black or African American Students [District] 2015-16,Black or African American Students [District] 2014-15,White Students [District] 2019-20,White Students [District] 2018-19,White Students [District] 2017-18,White Students [District] 2016-17,White Students [District] 2015-16,White Students [District] 2014-15,Fall Membership (V33) [District Finance] 2017-18,Fall Membership (V33) [District Finance] 2016-17,Fall Membership (V33) [District Finance] 2015-16,Fall Membership (V33) [District Finance] 2014-15,Total General Revenue (TOTALREV) [District Finance] 2017-18,Total General Revenue (TOTALREV) [District Finance] 2016-17,Total General Revenue (TOTALREV) [District Finance] 2015-16,Total General Revenue (TOTALREV) [District Finance] 2014-15,Total Expenditures (TOTALEXP) [District Finance] 2017-18,Total Expenditures (TOTALEXP) [District Finance] 2016-17,Total Expenditures (TOTALEXP) [District Finance] 2015-16,Total Expenditures (TOTALEXP) [District Finance] 2014-15
(ILC) ATOKA-COAL COUNTIES,Oklahoma,OK ,4000760,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,242000,†,†,†,212000
21ST CENTURY CHARTER SCH OF GARY,Indiana,IN ,1800046,42,23,19,11,15,11,1117,837,884,860,734,687,2,–,3,3,="0",="0",934,888,758,709,10118000,9342000,8129000,8927000,9608000,8637000,8645000,7553000
21ST CENTURY CYBER CS,Pennsylvania,PA ,4200091,103,97,70,63,49,56,135,128,100,87,63,71,920,918,796,745,670,683,1039,961,818,845,14933000,12848000,10815000,9640000,14579000,12528000,9536000,8687000
21ST CENTURY PREPARATORY SCHOOL AGENCY,Wisconsin,WI ,5500045,176,169,165,152,139,107,288,272,255,229,202,224,47,58,66,75,71,87,536,499,445,446,–,–,–,–,–,–,–,–
A CENTER FOR CREATIVE EDUCATION (79457),Arizona,AZ ,="0400328",20,22,19,14,11,12,2,1,1,1,="0",="0",40,37,40,44,50,48,64,64,70,71,550000,492000,549000,422000,491000,495000,484000,477000
A CHILD'S VIEW SCHOOL  INC.,Arizona,AZ ,="0400431",†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
A E R O  SPEC EDUC COOP,Illinois,IL ,1700024,64,67,72,†,†,–,35,21,20,†,†,–,109,101,75,†,†,–,–,†,†,†,35785000,31656000,31210000,31353000,32595000,33042000,31830000,31261000
A W BEATTIE CAREER CENTER,Pennsylvania,PA ,4280010,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",†,†,†,†,9412000,8796000,9078000,8835000,7986000,7888000,7670000,7470000
A W BROWN LEADERSHIP ACADEMY,Texas,TX ,4800095,68,89,85,80,63,43,1617,1951,2044,2183,2076,2090,4,7,6,4,8,6,2144,2278,2161,2152,19709000,20198000,20381000,18971000,16734000,18505000,15506000,14749000
A+ ACADEMY,Texas,TX ,4800203,1304,1276,1220,962,863,885,46,53,48,34,30,33,35,61,60,58,31,40,1348,1069,940,975,15179000,12372000,11332000,10950000,12218000,10329000,9998000,9373000
A+ ARTS ACADEMY,Ohio,OH ,3900305,3,7,12,17,26,9,622,688,643,589,625,446,8,2,3,4,10,3,667,629,692,478,6610000,5967000,6625000,4505000,6827000,6019000,6665000,4404000
A+ CHARTER SCHOOLS (1000166),ARIZONA,AZ ,="0400998",†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
A+ CHILDREN'S ACADEMY,Ohio,OH ,3901480,4,9,4,5,3,1,44,48,39,48,38,39,44,53,52,56,73,68,119,122,133,128,1263000,1316000,1400000,1222000,1242000,1374000,1325000,1164000
A+ UNLIMITED POTENTIAL,TEXAS,TX ,4801453,55,51,44,29,†,†,60,104,88,50,†,†,15,19,16,11,†,†,155,94,†,†,1612000,1120000,†,†,1384000,1132000,†,†
A-C CENTRAL CUSD 262,Illinois,IL ,1700105,11,12,15,12,14,13,3,5,8,7,10,12,377,393,409,426,448,441,436,453,479,471,7500000,6727000,5901000,5465000,6030000,6395000,5670000,5153000
A. LINWOOD HOLTON GOV SCH,Virginia,VA ,5100033,="0",="0",†,†,†,–,="0",="0",†,†,†,–,="0",="0",†,†,†,–,†,†,†,–,†,†,†,†,†,†,†,†
A.B. GRAHAM ACADEMY,Ohio,OH ,3901358,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
A.C.E. ACADEMY,North Carolina,NC ,3700372,57,58,50,35,25,9,301,314,313,278,215,109,9,14,26,41,44,32,423,389,311,157,3511000,3216000,2132000,1232000,3613000,2896000,2444000,1210000
A.C.G.C. PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2700106,52,63,66,66,58,49,="0",3,2,2,5,6,773,731,740,727,723,709,832,821,806,777,11240000,10835000,10754000,10868000,12221000,11477000,11471000,10602000
A.E. PHILLIPS LABORATORY SCHOOL,Louisiana,LA ,2200056,3,3,4,4,5,5,106,106,93,82,78,76,278,291,287,297,306,295,397,394,396,383,–,–,–,–,–,–,–,–
ABBEVILLE 60,South Carolina,SC ,4500690,41,43,45,49,48,37,1029,1026,1027,1027,1029,1045,1820,1873,1861,1856,1898,1880,3011,3013,3056,3051,36676000,35159000,34403000,32414000,33907000,33029000,32094000,30702000
ABBOTSFORD SCHOOL DISTRICT,Wisconsin,WI ,5500030,406,387,363,339,308,277,7,11,7,12,10,7,327,358,371,363,385,419,750,723,713,718,10705000,10115000,9616000,9612000,9273000,9663000,9024000,8877000
ABBOTT ISD,Texas,TX ,4807380,39,36,47,36,28,25,4,2,1,2,="0",="0",238,232,234,239,232,233,290,284,270,264,3460000,3332000,3166000,3017000,3253000,2841000,3519000,2684000
ABBOTT UNION FREE SCHOOL DISTRICT,New York,NY ,3602300,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ABBY KELLEY FOSTER CHARTER PUBLIC (DISTRICT),Massachusetts,MA ,2500051,297,324,318,314,345,350,747,732,709,691,633,609,279,282,296,327,348,357,1425,1425,1426,1428,22664000,20646000,19533000,20642000,20324000,18148000,18245000,27550000
